Text	Category
FIO DENTAL POWERFLOSS TORCEDOR FLAMENGO 20 M MENTA	cosmeticos
Ref1: 73231 - DAVINES-NOUNOU SHAMPOO 5000 ML	cosmeticos
CJ. ESCOVA E PENTE ROSA NEOPAN	cosmeticos
EXTREME CILS - MASC. CILIOS ALONGAMENTO EXTREMO ** -L.1391	cosmeticos
Esmalte Perolado 7,5 ml 240 Amore Impala UN	cosmeticos
ED CLOSEUP SYSTEM MC	cosmeticos
LENCOS UMEDECIDOS RICCA 20 UN	cosmeticos
RICCA ESC POP KIS OV	cosmeticos
EDP CK EUPHORIA FORBIDDEN VAPO 50 ML	cosmeticos
EMULSAO CT 4% 1L	cosmeticos
SABONETE PROTEX 90GR 1X1 VITA E (72 UND)	cosmeticos
MMD PRIMEIROS PASSOS AZ ORTO SIL 120ML TAM1 | Lotes: 16273| GTIN: 7896033211703	cosmeticos
CLIPS 80MM C 12 UN. VERTIX	cosmeticos
DUO CAKE VULT ARTS AMARELO	cosmeticos
WHEY FIT CREAM - MASCARA SACHE 30G	cosmeticos
Desod. P/ Corpo Sexy	cosmeticos
MULATEIRO FLUIDO RESTAURADOR C APILAR RESERVA BEAUTY 60 ML	cosmeticos
SAB PALMOLIVE NUTRIMILK KARITE 90G PT/0012	cosmeticos
ESMALTE COZETE GOMES RYCA 10ML LT CZ 055	cosmeticos
LENCOS UMED DEMAQUILANTES FEELCLEAN 16 UN (COM 24 PCS) - Lote: 010996	cosmeticos
Aquaface Masc. Phytomineral 250g	cosmeticos
KOSTUME KOLOR 5.3 60G	cosmeticos
SABONETE LIQ ESPUMANTE EXOTIC SMELL 45ML	cosmeticos
Extrato Deo Col Des 50ml FEM R10100 no. 93	cosmeticos
ADESIVO DE UNHA ONÇA	cosmeticos
LENC UMED AMORAVEL BABYC1000	cosmeticos
Po Compacto N002 Vult UN	cosmeticos
BASE LIQUIDA OIL FREE MARCHETTI - 08	cosmeticos
AR CORES - ESMALTE MALVE	cosmeticos
Des Spray Para Pernas	cosmeticos
PAPEL HIG CARINHO PLUS 4X12 60MT FD0004UN	cosmeticos
Esmalte Cremoso 10 Ml Teen Love Anita UN	cosmeticos
GUARDANAPO 18X23X3000 FLORAX 60X50 - 2	cosmeticos
KIT SOU NATURA 07/16	cosmeticos
CONDICIONADOR NUTRITIVO GOLD B	cosmeticos
ESFOLIANTE YLANG 200G	cosmeticos
SH SEDA 350ML REVIT REP MASSA	cosmeticos
T.KOLES.121 BLONDE	cosmeticos
COL KOLEST 50	cosmeticos
TRESEMME EX FIRME 250	cosmeticos
PROVADOR BANDEJA BLUSH INTENSITE	cosmeticos
KIT ESC PHCLINPROT+ENX PH 250ML 12IT	cosmeticos
RISQUE ESM CREM BALI REG CL 8ML	cosmeticos
STIPROX 15% 120ML	cosmeticos
Condicionador Elseve 200 Ml Quimica Rep Total 5 Loreal UN	cosmeticos
LOCAO PROT SOLAR CARAMBOLA FPS 50 130 ML . .	cosmeticos
REMOVEDOR DE ESMALTES ELKE:75ml	cosmeticos
SAB DOVE 090GR. MEN CARE CLEAN COMFORT	cosmeticos
IVY C GEL REJUV 30G	cosmeticos
CREME DE PARAFINA COM OLEO DE CENOURA E URUCUM 200G - AGUCE, 1228007, Val. 15/06/2018	cosmeticos
COND DESAMARELADOR HMB 300ML	cosmeticos
1189115 ST ADESIVOS COLORIDOS	cosmeticos
STU LINE WET GEL 150G	cosmeticos
CRD ORAL B P.SAUDE ESCUDO ANTI ACUCAR 70G	cosmeticos
BICO DE PATO C12 CARTELAS	cosmeticos
Tinta Magnific Color 4 Castanho Natural Amend UN	cosmeticos
SOMBRA PIGMENTO TOQUE DE NATUREZA - 01 - LOTE: 250216	cosmeticos
DES BIO SOFT FEM AER 150ML	cosmeticos
ASEPXIA MAQ PO COMPACTO BEGE 10G	cosmeticos
ESM BOOM POPANITTA MET PODEROSA 8ML LT AN 077	cosmeticos
BASE OIL FREE FPS 25*** - 30ML (COR 2 - BEGE CLARO DOURADO) -L.201601062	cosmeticos
OLE OLOVE DE MASSAGEM AMARULA 30G Tot. Tributos R$ 9,99 Federal R$ 11,12 Estadual	cosmeticos
NIVEA FOR MEN GEL LIMP FACIAL E BARBEAR 2 EM 1 100ML	cosmeticos
PERFUME JADORE EDP FEM:50ml	cosmeticos
GRECIN 5 CASTANHO MEDIO ESCURO	cosmeticos
PERFUME BLACK IS BLACK EDT 100ML	cosmeticos
ESM PRETA GIL 5 FREE PRET-A-PORTER 9ML LT PG 852	cosmeticos
ESMALTE DOTE BL HIPO 05 DESEJADA 9ML	cosmeticos
GEL SUNDOWN HID POSSOL 130G	cosmeticos
SO LAQUE- ROUGE ESCARPIN	cosmeticos
SOMBRA MATTE BLACKBERRY	cosmeticos
NECESSAIRE VERNIZ VERMELHA C/ 1UN	cosmeticos
BOTICA COND CAMOMILA 40ML	cosmeticos
Hair Spray Colorido 120 ml Rosa Neez UN	cosmeticos
SABONETE PALM SUAVE EXT FRUTAS 12X90G RFBR11470	cosmeticos
AMARIGE FEM 50ML	cosmeticos
ESM BC BR RED CARPET HB	cosmeticos
HUGO BOSS JUST DIFFERENT MASC 40ML	cosmeticos
CR DENTAL COLG TOT. 12 CLEN MINT 180	cosmeticos
FIRST MASCARA VOLUME DEFINE RDM01BR	cosmeticos
LEAVE-IN FORTALECEDOR AMEND FO	cosmeticos
ARTIST SHADOW CARD AMOSTRA	cosmeticos
ABACATE POS QUIMICA SH 250ML	cosmeticos
BELEZA 100% NAT CR P PEN C/ OL	cosmeticos
COVER BLOCK FPS50 - COR F ** 8G -L.201511048	cosmeticos
BI-O AERO EXTREME 80 MASC	cosmeticos
FIXODENT CREME ORIGINAL 21G	cosmeticos
PAPEL T.2D 21X22/4X250FL L.STAR (0913)	cosmeticos
SHP WELLA PROSERIES COLOR 200ML	cosmeticos
043.039-DEVA CURL DECADENCE NO-POO 120ML	cosmeticos
TINT BIOCOLOR FLUID 3.0 CAST ESC	cosmeticos
ELS HYDRA DETOX ZERO CASPA CD 200ML	cosmeticos
OLEO-CURL IDEAL 150 ML	cosmeticos
KUKA CHUP CRIS N1 AZUL	cosmeticos
BXSFH EDT SPRAY 1.7OZ / 50ML	cosmeticos
Tinta Color Intensy 50 g 55.46 Cts.Cl.C.Avr.I Amend CX	cosmeticos
CLOSE UP C D GEL RED HOT12X4X90G PRM 4X3	cosmeticos
ESM CL RISQUE COL PURA LUXURIA CREM C/6	cosmeticos
PH SOFTYS FD C/4UNID	cosmeticos
MASCARA MATIZADORA 250GR	cosmeticos
PENTE VERTIX BLUE PRO CORTE	cosmeticos
SAB JOHNSON 080GR BABY TRAD(E)	cosmeticos
ABS.ALWAYS BASICO SC SAB C8 C	cosmeticos
ARGILA VERDE DE 250 G	cosmeticos
Prendedor Elastico para cabelo, sem mteal , cores variados, brilho neon, marca almar, embalagem c/18	cosmeticos
SHAMPOO ECOACTIVE ARGAN OIL 300ML	cosmeticos
PRO LONGWEAR CONCEALER NC15	cosmeticos
ESMALTE COLORAMA SUPER BLISTER LARANJA ELSTICO 8ML	cosmeticos
ESMALTE PENELOPE LUZ IT S SUMMER	cosmeticos
5372461 ST BLUSH PESSEGO	cosmeticos
Esmalte Full Color Perolado 9 Ml Aventura Ludurana UN	cosmeticos
ESC DTL ORAL B CLASSIC LIMP BRILHA	cosmeticos
PO COMPACTO SELECT SHEER NC25	cosmeticos
TURQUATIC FRAGRANCE BLEND REPA	cosmeticos
Esmalte High Gloss 7,5 Ml Expressao Amor Impala UN	cosmeticos
Desod. P/ Corpo Musk	cosmeticos
COLORA ILLUMINA 5/ 60ML	cosmeticos
PV BATOM PRINCIER NUDE ROSE 3G	cosmeticos
NOVEX VITAY SH OLEO DE ARGAN 300ML	cosmeticos
SH PANT 200ML FUSAO NAT	cosmeticos
PERFUME DIOR HOMME VAPO 100ML***F/L***	cosmeticos
Esmalte Romantic Eu e Voce Impala UN	cosmeticos
5373026 ST GEL REDUTOR DE CELULI	cosmeticos
BRILHO LAB. GLOSS SHINE - 12 BOCA CHIC	cosmeticos
Softalind Viscorub 100mL	cosmeticos
SOMBRA MAYBCOL.TATTOOED.EM.	cosmeticos
CITY MIRACLE 02 T	cosmeticos
QILIB MULHER 80ML	cosmeticos
MARU BASE HIPOALERGENICA 10ML	cosmeticos
PRO - LAPIS CARBON N. 10 - MARINHO	cosmeticos
Deo Colonia Des. Self Env. 100 ml no. 111	cosmeticos
PURA ESSENCIA ESPONJA ESF - AC NATAL 2011 Padrao	cosmeticos
Extrato Deo Col Des 50ml R10100 no. 21	cosmeticos
ESMALTE YNC YENZAH:12ml:DIA	cosmeticos
SABONETE LIQUIDO ALCHEMIA CASA Refrescante 35	cosmeticos
Isis Feminino	cosmeticos
DESODORANTE SPRAY SALVIA 120ML	cosmeticos
ES COLOR 270 CARNIVAL	cosmeticos
BRIND BL CA UNFORGETTABLE 2H14 UN	cosmeticos
PACK 2DES AE DOV 40D	cosmeticos
2011603 ST COND NG POS QUIMICA	cosmeticos
DES.BI-O AER.MINER.DRY POWE.MAS.150M UN0001UN	cosmeticos
LENCO REFRESCANTE CHA VERDE RICCA 10PCS	cosmeticos
BATOM NEW EXCELLENCE MATTE - PURPURA INSTINTO	cosmeticos
SOMBRA MATTE2 FIG. 1	cosmeticos
Tinta Cor&ton Kit 175 g 6.0 Louro Escuro Niely UN	cosmeticos
Base P Unhas Casco De Cavalo 10 ml Fort Vita B5 Maru UN	cosmeticos
PHISIO ANTI-ODOR LIMP AURICULAR 100 ML	cosmeticos
LUX SAB INT FRESH PASS	cosmeticos
BXSFH EDT 80ML VAPO	cosmeticos
Gel Antiséptico para as mãos Acquaroma Bebê 380ml Bebê	cosmeticos
Barbie Vintage Duo de Sombra Rosa e Marinho DSO2376	cosmeticos
ESM. BLANT COL. ENCONTRO CORES-MARACATU	cosmeticos
Read My Lips - BOOM!	cosmeticos
DESODORANTE SPRAY CLASSIC PALMIN DAYA 90 ML	cosmeticos
Escova Facial Massageadora Importada Ref.1098 Santa Clara UN	cosmeticos
MASC CAP WELLA ENRICH SELF WARM 150ML	cosmeticos
PROFUSE ESSEN COP 200	cosmeticos
DHIA DIVIN EDT SACHET	cosmeticos
Esmalte Impala Isis Cremoso Sofia	cosmeticos
JIMMY CHOO STARS PROV 100ML	cosmeticos
GEL POS SOL BIOMAS DO SUL 240ML	cosmeticos
KIT CINDERELA SHAMPOO E COND E COLONIA BIOTRO	cosmeticos
KIT MUNDINHO DO BEBÊ	cosmeticos
PALITO SANTA CLARA PONTA CHANFRADA 3 UNIDADES R 826	cosmeticos
ESMALTE VERONA MEGA BRILHO 7,5ML BL P.NEGRA	cosmeticos
RV ESMALTE CREME TANGERINE	cosmeticos
Sh Banha de Ra Lote 130130	cosmeticos
0511641 ST BATOM MATE	cosmeticos
LIB LENCOS UMED HIG INT FEM CX 20	cosmeticos
HIDRATANTE FACIAL 60G	cosmeticos
Mascara Capilar Quiabo C/ Babosa 490 G	cosmeticos
ESMALTE COZETE GOMES LUXURY 10ML LT CZ 056	cosmeticos
Bob Com Velcro 5 Un Med.Ref. 4305 Marco Boni UN	cosmeticos
Deo Colonia Des 50ml Sexy Lady	cosmeticos
DESODORANTE REXONA AEROSOL WOMEN SEXY 105G	cosmeticos
ESM. O P I - 50 PAMPLONA PURPLE! 15ML	cosmeticos
TERMOMETRO	cosmeticos
LOCAO HIDR GARNIER BODY E SECA M KARITE 1X200ML RGP007003	cosmeticos
ORIGEM CREME 1KG SUAVIDADE	cosmeticos
HB84686PB- ESTOJO DE SOMBRAS C 15 CORES * 192 UND	cosmeticos
ESD.ORAL-B IND MC 40 6X1 R.9236 CX0006UN	cosmeticos
KIT CALIENTE COLONIA+HIDRATANT	cosmeticos
TALCO TENYS PE B.MANIA 100G	cosmeticos
Manteiga Corporal 110 g Amendoas CBaunilha Muriel UN	cosmeticos
- REF.: (60016100000) - AGUA PERFUMADA 30ML - SJP LOVELY - SARAH JESSICA PARKER LOVELY EAU DE PARFUM SPRAY	cosmeticos
- REF.: (46-20047-C02) - TESTER MASCARA PARA CILIOS - COOL 02 - TEEEZ FULL & FURTY VOLUME MASCARA - PROT.DO.M.S	cosmeticos
KIT LENCO P SECA SOFT MILK SHOWER CREME GRAT	cosmeticos
DESODORANTE EM CREME MADEIRA D	cosmeticos
ESM IMPALA CREM PINK 7,5 ML 6X1	cosmeticos
OMBRES 4 COLUREURS 05 TESTER 5,9GR	cosmeticos
ESM C.SHOW 10ML NU 160 PINK BOOM	cosmeticos
MAC MATCHMASTER FOUNDATION SPF15	cosmeticos
TINT.MAXTOM 3.66 ACAJ.PURP.50GR 0415 UN0001UN	cosmeticos
KIT PINCEL P/MAQUIAGEM C/10PCS CX100	cosmeticos
TIARA-04900-UNI	cosmeticos
MAY GLA PINK 7ML C/3	cosmeticos
SOMBRA FROST AMBER LIGHTS	cosmeticos
YSL TOUCHE ECLAT 2	cosmeticos
SPECIFIC CREME REVITALIZANTE PARA MAOS FPS 20 60GR	cosmeticos
SH CLEAR 200ML ANT-C CRESC.FORCA UN0001UN	cosmeticos
SAB AMORAVEL GEST OLEOAMENDOAS 130G	cosmeticos
CONDUTOR DENTAL HILLO C/25	cosmeticos
SHAMPOO PANTENE FUSAO DA NAT 400X12IT	cosmeticos
CD SENSODYNE 050GR ORIG	cosmeticos
1COULUER GLOSS 530 GOLD SAND 6ML	cosmeticos
WHITENESS PERFECT 16% BULK	cosmeticos
BATOM ULTRA HIDRAT FPS15 -4G LAZY** -L.201303019	cosmeticos
DESOD COTY CREM S/ PERFUME 55 GR	cosmeticos
SHP CLEAR ALIVIO COCEIRA 200ML	cosmeticos
LPOP NAILS 16 ENAMEL 001 TEST	cosmeticos
Creme P Pentear Acqua Kids 250 Ml Pessego Nazca CX	cosmeticos
SABONETE ORE PREZIOSEVII SAFIRA 250G	cosmeticos
CR.CAB.PANT.REP.PONTAS 150ML	cosmeticos
RABICO MORANGAO GIGANTE 24X1	cosmeticos
SH TRA LA LA KIDS NUTRIKIDS MUSICAL 480ML	cosmeticos
OPTISMOOTH CR RELAX.SENSIBILIZADOS	cosmeticos
Tinta Nutrisse Colorissimos 121 Lour ULt Cla Beg Loreal UN	cosmeticos
EDT PUMA ANIMAGICAL MAN VAPO 40 ML	cosmeticos
CLOSE UP CR PLAT WH 70	cosmeticos
CREME PE D+ 240 GR	cosmeticos
ELSEVE AMP REPA C/3	cosmeticos
0031828 ST ALICATE CUTICULA	cosmeticos
BED HEAD CC DUMB BLOND SH 2 L	cosmeticos
Esmalte Ludurana Realeza Princesa Blister 9ml	cosmeticos
ORAL B FIO SUPFLOS 50UDANIFICADO	cosmeticos
PROT SOLAR FPS 30 1 LT NUTRIEX	cosmeticos
FIX CAP BOZZANO BRI MOLH GEL230G NV	cosmeticos
DES REXONA SUP.HER 50M R-ON	cosmeticos
Po Compacto Unitario Simples Ref. 554 Vivai UN	cosmeticos
SABONETE LIQUIDO MAIS PURA - 250G	cosmeticos
CONDICION CREME WELLA ENRICH 1000ML	cosmeticos
SUPERIACOLOR LOURO ESC DOURADO ACINZ 530 AMEND 1X250 GR AMEND 1X250 GR	cosmeticos
Maquiagem Labio 5 Ml	cosmeticos
PERFUME MOSCHIINO FOREVER MASC EDT 100ML	cosmeticos
- REF.: (82437011) - TESTER AGUA PERFUMADA 75ML - ESCADA ELIXIR - ESPECIALLY ESCADA ELIXIR EAU DE PARFUM INTENS	cosmeticos
ESM COM RISQUE N ESTRELA DO MAR C/6	cosmeticos
AGIMA FIX. HAIR EX. FORTE 250ML	cosmeticos
Esmalte Maybelline Color Show 10 Ml 540 Runway Grey Loreal CX	cosmeticos
KIT PROMOCAO PROPOSTA	cosmeticos
MODERM BB BLUR UNIF FPS 25 30ML	cosmeticos
LENCO UMEDECIDOS BEBE NATUREZA M 50 UN	cosmeticos
SAB PALM NATURALS COCO ALG LIQ250ML	cosmeticos
OLEO FLAN SENSUAL 475ML	cosmeticos
BITUFO ED ELETRICA PENELOPE C REFIL	cosmeticos
DS REXONA 050ML ROL F COTTON(E)	cosmeticos
DS REXONA 150ML AERO ACTIVE(E)	cosmeticos
CR PENT ELSEVE 250ML QUERA LISO SOLTO(E)	cosmeticos
SAB NIVEA PEARLBEAUTY LIQ 250ML	cosmeticos
A-SP LISTERINE 12XDT/GG 500M	cosmeticos
CONDICIONADOR EXTRATO DE ROMA	cosmeticos
ML-PR MALETA PLAST.	cosmeticos
VCY NORM SABON ESF 80G	cosmeticos
ESM COLORAMA 008ML NUT VENT BOM BL(E)	cosmeticos
BELLIZ PINCEL DELI 517	cosmeticos
LIFT MINCEUR HAUTE DEFINITION 200ML TEST	cosmeticos
TALCO TENYS PE PO CANFORADO 100GR UN/0001	cosmeticos
RISQUE ESM CR AMARRACAO AMOR BL 8ML	cosmeticos
Tinta Fleury 6.66 L.Esc.Verm.Prof Embelleze UN	cosmeticos
CR PENT TRESEMME BLINDPLATINUM300ML	cosmeticos
ESC VERTIX HOT THERMAL ANION 53	cosmeticos
PERFUME FERRARE BLACK 125 ML	cosmeticos
SAB ANTISSEP CLINIX E.DOCE 1LT VALVULA	cosmeticos
Mamadeira NUK FC Trend 150ml S1 - Boys | Lotes: 5402| GTIN: 47896098804900 | FCI: DE6D1B70-5CDE-4354-8DAE-7A96E4382982	cosmeticos
ESMALTE AH CREM. BEIJO NA BOCA 9 ML	cosmeticos
MAM LOLLY COLOR BABY ROSA 240ML 1670	cosmeticos
PO ILUMINADOR ARCHY PRATA UN-0001-UN	cosmeticos
SH FRUCTIS LISO ABSOLUTO ESCOVA 1X200ML RH0729300	cosmeticos
DERMA ESMALTE MAGNOLIA CREM 11ML	cosmeticos
RISQUE ESM CREM BALI REG BL 8ML	cosmeticos
PIGMENTO SOLTO PIGMENTS VANILL	cosmeticos
QDB DELINEADOR GEL PRETON	cosmeticos
OLEO REMOVEDOR HIDRATANTE 150ML	cosmeticos
5286239 ST SABON LIQ ERVA D HORT	cosmeticos
TST AGUA COL LE M TERRIBLE2H11 125ML	cosmeticos
SAB PALM IOGURTE 90G	cosmeticos
AMPOLA TRAT.FRUCTIS BR.VIT.3UN	cosmeticos
Esmalte Foup Perolado Aurea	cosmeticos
TERMOMETRO BANHO DIG. CARANG.INF.AZUL	cosmeticos
MASCARA HIDRATACAO QUIMI CONTROL NATUTRAT 2KG	cosmeticos
0507156 ST SOMBRA ASA ONIX	cosmeticos
OX PLAN SAB LIQ HI 250	cosmeticos
SUPRIDERME OLEO COM CALENDULA ALMOTOLIA 200 ML	cosmeticos
FD T MONICA JUMBO PACK P36	cosmeticos
PINCEL BARBA MUNDIAL	cosmeticos
SH SEDA 350ML CACHO COMP (12 UN)	cosmeticos
SHP PANTENE CONTROLE QUEDA 400ML	cosmeticos
BC MAKE UP BATOM HIDRATANTE BRIZE 20 BL	cosmeticos
ESM T.BEAUTY CINT. 67-HELICONIA 9ML	cosmeticos
MASCARA CILIOS VULT MODELADORA/CR/	cosmeticos
MAUA VERT DEO COLONIA 60ML	cosmeticos
LIXA BANANA	cosmeticos
706 ESMALTE MOHDA CREMOSO ELEGANT	cosmeticos
GUARD.F.DUPLA 24x23 r 50 POAS-AZ 12x16 UN	cosmeticos
Agua Oxigenada 100 Ml 30 Volumes Alta Moda UN	cosmeticos
POUDRE MAJEUR EXC.COMP 01 T	cosmeticos
ESTOJO C/5 SAB.80G LUXO LAV.INGLESA	cosmeticos
COPPERTONE SPY OF FPS50 177ML	cosmeticos
0208787 ST CORRETIVO ESCURO	cosmeticos
BLUSH MARCHETTI FIRENZE - 02	cosmeticos
MASCARA 1 SECONDE WATERPROOF BLACK TEST	cosmeticos
ESC STAGES 4	cosmeticos
PHIG FSAQ PALOMA CAMOMILA8x8C/30m	cosmeticos
ESMALTE RISQUE RELAX DA PENELOPE 8ML	cosmeticos
BATOM TRUE COLOURS - ROSA GOIA	cosmeticos
PINCEL BELLIZ COMPACT CHANFRADO PARA DELINEAR	cosmeticos
ESC DTL BITUFO INTERD HB CONICA	cosmeticos
ESM PRETA GIL METALIZ AZUL PREFERIDO 9ML	cosmeticos
ESM HIPOALERGENCO RIO DOCE 1X6	cosmeticos
PENTE KIT C/ 3 20CM E 23CM*	cosmeticos
SOLAR FACIAL FPS60 50G	cosmeticos
SAB BAR FRANCIS CLASSICO ROSAS DE GIVERNY (ROSA) 72X90G	cosmeticos
2849380 ST AGUACOLONIA GIOVANNA	cosmeticos
JAGUAR PRESTIGE MASC 50ML	cosmeticos
TEST LIP ARTIST NATUR 3.5G N50	cosmeticos
BATOM FROST SEQUIN	cosmeticos
ESMALTE LAPOGEE NIGTH SPECIALS	cosmeticos
RISQUE ESM HIPO NINFA BL 10,5ML	cosmeticos
TERMOMETRO DIG MED FLEX ROSA 29834.202	cosmeticos
SAB. LIQ. ERVA DOCE 250 ML	cosmeticos
FLACONETE 04ML - UP!07	cosmeticos
FRASQUEIRA (BOARDING CASE)-00810-UNI	cosmeticos
AR TRATAMENTO - VERNIZ EXTRA BRILHO	cosmeticos
IMECAP ANTISSINAIS 45K+35GR	cosmeticos
9014926 ST CR PREV OLHEIRAS	cosmeticos
CH EDT 50 ML NS	cosmeticos
"UNHAS FING&#39;RS POST FR NAT 24X1 REF 2201"	cosmeticos
BI-O AERO CLARIFY FEM	cosmeticos
1531590 ST MASCARA CILIOS BROWN	cosmeticos
DS AVANCO 85ML ORIGINAL	cosmeticos
Bico NUK FC Silicone Liq Engrossado S2 | Lotes: 5083| GTIN: 7897371801892 | FCI: 11464E68-881B-44BC-9907-4A3E1018AED2	cosmeticos
Maxpaper Vip(TIV5000)22,5x20,5 5000Fls.Ex.Luxo	cosmeticos
Tinta Magnific Color 7.1 Louro Cinza Amend UN	cosmeticos
DEO COLONIA GOUTHIER - 100ML	cosmeticos
MOUSSE FINESSE VOLUMIZING 198 GR	cosmeticos
ELS CT ARGIN RES X3 NUTR INT 1KG .	cosmeticos
SH HEAD SHOULDERS R.OLESIDADE 200ML	cosmeticos
DESODORANTE BOZZANO AEROSOL FRESH 150ML	cosmeticos
MANJERICAO 10ML	cosmeticos
ESMALTE IVETE SANGALO CR SUPER NOVAS 9ML LT IS 041	cosmeticos
PROVADOR DEO COLONIA AMOR PERFEITO FEMININO 10 ML	cosmeticos
AMOSTRA MJ DOT 2H12 PCT C/12 X1,2ML	cosmeticos
DES RO FEM REX ACTIV	cosmeticos
BATOM ZANPHY LUXO - 10 - ROXO	cosmeticos
DETOX POWER BLOND LONDON THE NUMBER 1 ( 1 LITRO)	cosmeticos
SAB PALM NATURALS SEG SED LIQ250ML	cosmeticos
SAB.LIQ. BEBE LAV. 250ML	cosmeticos
DESODORANTE REXONA CLINICAL MEN STICK 48G	cosmeticos
ESTOJO PERFUME EUPHORIA CK FEM 50ML + LOCAO C	cosmeticos
SHAMPOO PHYTOERVAS CABELOS TINGIDOS 250ML	cosmeticos
PF SH FRUCTIS ANTICASPA 2 EM 1 200ML UN/0001/UN	cosmeticos
SAB.PROTEX BALAN.90G C12	cosmeticos
SH PALM ANTICASPA CLASSICO 350ML	cosmeticos
DEO COLONIA UP! 38	cosmeticos
CR TRAT FRUCTIS OLEO REPARACAO 1KG	cosmeticos
TESTER AA FOUNDATION 500 2H11 30 ML	cosmeticos
COLOR TATTOO BAD TO THE BRONZE	cosmeticos
SM O-8 1/2 PENTE 12x1	cosmeticos
Gel Esfoliante Facial Skin Clear	cosmeticos
EYE SHADOW ANTIQUED	cosmeticos
LENC UMED JJ BABY RECEM NASC C50	cosmeticos
OLEO RECONSTRUTOR PROGRESSIVO BTOX 60ML	cosmeticos
SABONETE PROTEX VITAMINA E P MAOS 250ML	cosmeticos
Esmalte Risque Cremoso 8 ml Nude Niasi UN	cosmeticos
SAB GRANA BEBE GLICE 90G LAV	cosmeticos
Locao Iluminadora - 140ml	cosmeticos
DOKLISS CAUTERIZADOR 300g (1,00 UN) (1)	cosmeticos
GEL CAB KANECHOMN FIX INCOLOR 230 GR UN/0001	cosmeticos
BLUSH PRODIGE 05 - 7,5GR	cosmeticos
Bico NUK FC ADVANCED Silicone Liq. Ralo S1 | Lotes: 5402| GTIN: 57896098808387 | FCI: 3B0009C5-0F19-4319-8E12-38794A02	cosmeticos
CREME SEBO DE CARNEIRO BISNAGA 200G	cosmeticos
DBRZ SELF TANNER BODY 120ML	cosmeticos
Esmalte Colorama Efeito Especial 8ml Oculos Escuros Loreal UN	cosmeticos
FERRARI SCUDERIA MASC 125ML	cosmeticos
OXYDERME GEL CONSCIENCIUS - 100ML	cosmeticos
COND XUXINHA SUAVE 210ML	cosmeticos
COLORACAO 900 - ULTRACLARO NAT	cosmeticos
RETOK COLOR HAIR LIQ CASTANHO MEDIO 6ML	cosmeticos
OB COMPLETE ENX HORTELA L500P300ML X12IT	cosmeticos
NLY C&T KIT 12.11 L. PLATI CINZ INT	cosmeticos
VCY DERCOS TR AQ FEM	cosmeticos
SHP PANTENE 2X1 CUID CLAS 200ML NV	cosmeticos
MAY TATTO SB BRONZC2	cosmeticos
AMACIADOR DE PELOS EXP. FACIAL 30 GR	cosmeticos
PV CAPTURE TOTALE NUIT CREME	cosmeticos
Esmalte Colorama Cremoso 8 ml Cinza Curinga Loreal UN	cosmeticos
ESMALTE COLOR RENDA NATURAL NAT 8ML	cosmeticos
PROVITAL COLORA 28 PRETO AZULADO 1X12IT	cosmeticos
SAB NIVEA HIDR ERVA DOCE 90G	cosmeticos
VCY NEOVALD CONTOURS	cosmeticos
SANIFILL GD KIDS ADV TIME 12X50G	cosmeticos
AGUA OXIG ALFAPARF VOL 30 100 ML	cosmeticos
MAKE UP SOMBRA VENEZA DERMAGE 1,8G -L.050313	cosmeticos
PALINETES FLEXIVEIS C/150 (COTTON LINE)	cosmeticos
ATIVADOR DE CACHOS PRE POS TRATAMENTO NATUTRAT 500ML	cosmeticos
GILL ARCTIC ICE 93 G	cosmeticos
ESMALTE LAPOGEE FUNK ENCANTOS MIL	cosmeticos
HEALTHY MIX SERUM BEIGE FONCE TEST	cosmeticos
ROSA NOBILE 5ML	cosmeticos
LAPIS SOMBRA BRONZE LUZES -1,5G	cosmeticos
GEL MASSAGEADOR SEBO DE CARNEIRO 240G	cosmeticos
VERNIS 537 RIVIERA	cosmeticos
Creme Hidratante Clinihair 430g Liso Expert Niely UN	cosmeticos
NUTRADERM 60G CR	cosmeticos
COLORACAO 8.1 - LOURO CLARO AC	cosmeticos
MASCARA CAPILAR SEBAST PENETRAITT 500ML	cosmeticos
Esmalte Ludurana Rock In Rio Perolado Sintonia Blister 9ml	cosmeticos
GUARDANAPO 20 X 20 JR BR PC 50 UN	cosmeticos
ESMALTE IMPALA CREMOSO LISTRADO BLISTER 6X1 R01012726	cosmeticos
AGUA DE COLONIA - FRAG. MUSK - 750 ML	cosmeticos
HASTES JXJ COTONETES CX C/300	cosmeticos
CREME CAPILAR ALGAS MARINHAS 500G	cosmeticos
0375624 ST RETOK STICK LOIRO	cosmeticos
RISQUE ES CR BIANP	cosmeticos
ROUGE IN LOVE 185N	cosmeticos
Condicionador de Guanxuma 500ml	cosmeticos
SOMBRA DUO VULT COR 12/CR/	cosmeticos
FIO DENTAL JJ ESSENT MENTA 100M	cosmeticos
Esmalte Impala Isis CremosoLaura	cosmeticos
SH PALM NAT 350ML REP COMPLETA	cosmeticos
ESMALTE IMPALA HIPOALERGENICO DESTINO DOS SONHOS - BLISTER	cosmeticos
ESC RICCA COLORS OVAL MIDI RAINBOW	cosmeticos
RIMEL MASCARA ALONGADORA - 8ML PRETO	cosmeticos
CR AMOLEC CUTIC NUTRYDERM 120G	cosmeticos
- REF.: (64788263000) - KIT CONTENDO: AGUA PERFUMADA 75ML + LOCAO PARA CORPO 75ML + GEL PARA BANHO 75ML - SEEBY	cosmeticos
